iter	Logloss
245	0.4353914968
246	0.4349411792
247	0.4343077708
248	0.4337874629
249	0.4333137934
250	0.4329846708
251	0.4327529923
252	0.4324647499
253	0.4322990194
254	0.4320311611
255	0.4317120855
256	0.4311713399
257	0.4306787685
258	0.4299459899
259	0.4295507885
260	0.429059373
261	0.4283553395
262	0.4277960984
263	0.4275859725
264	0.4271492941
265	0.4266853938
266	0.4263673772
267	0.4260441117
268	0.4257402178
269	0.4251956388
270	0.4248129665
271	0.4244238337
272	0.4237362507
273	0.4231195749
274	0.4228931659
275	0.4223748371
276	0.4220002836
277	0.421449272
278	0.4210302294
279	0.420556376
280	0.4203687316
281	0.4198816514
282	0.4196519764
283	0.4190087869
284	0.418498127
285	0.4183734966
286	0.4181836945
287	0.4178590315
288	0.4174692914
289	0.416886038
290	0.4166597006
291	0.4162590866
292	0.4160165235
293	0.4155546337
294	0.4151071283
295	0.4146622747
296	0.4140819626
297	0.4136621847
298	0.4130215245
299	0.4124189536
300	0.4121187224
301	0.4117776468
302	0.4114595081
303	0.4113192713
304	0.4110531837
305	0.4106125869
306	0.4103729917
307	0.4098450523
308	0.4093483562
309	0.4089870021
310	0.4085654841
311	0.4079970047
312	0.4076269022
313	0.4073437412
314	0.407011449
315	0.4064911902
316	0.4061716406
317	0.4059513131
318	0.4056247385
319	0.405202274
320	0.4050232175
321	0.4048490219
322	0.404612734
323	0.4044171084
324	0.4041498102
325	0.4039646949
326	0.4037989878
327	0.4035803659
328	0.4032941506
329	0.4030867403
330	0.4027802514
331	0.402387094
332	0.4020257923
333	0.4017347265
334	0.4015037635
335	0.400786788
336	0.400471721
337	0.4003554429
338	0.3999322425
339	0.399529462
340	0.3989535824
341	0.398604113
342	0.3982590605
343	0.3979524024
344	0.3975585088
345	0.3972047016
346	0.3970103917
347	0.3966832502
348	0.3964131626
349	0.3958609869
350	0.3954444449
351	0.3950665234
352	0.3947426596
353	0.3944001029
354	0.3941762223
355	0.3940712765
356	0.393848416
357	0.3935808731
358	0.393331298
359	0.3931029424
360	0.3927290914
361	0.3923572184
362	0.3920801625
363	0.3916876529
364	0.3913375191
365	0.3910321286
366	0.3904095177
367	0.3900100514
368	0.3896431848
369	0.3889519058
370	0.3885430817
371	0.388023662
372	0.3878380757
373	0.387429748
374	0.3872870015
375	0.3870718159
376	0.3867937897
377	0.3864308046
378	0.3861661106
379	0.3858249304
380	0.3854314694
381	0.3852909696
382	0.3849855195
383	0.3846651291
384	0.3843199213
385	0.3840536087
386	0.3839221112
387	0.3835031481
388	0.3829349409
389	0.3826271701
390	0.3823549536
391	0.3820794962
392	0.3817211054
393	0.3815182111
394	0.3810267693
395	0.3807410479
396	0.3804023532
397	0.380112906
398	0.3796560398
399	0.3791457255
400	0.3788064542
401	0.3786683502
402	0.3783987821
403	0.3779951303
404	0.3777181609
405	0.3772670801
406	0.3767857131
407	0.3763616955
408	0.3761070625
409	0.3757869402
410	0.3757049943
411	0.3754589894
412	0.3751570929
413	0.3749676646
414	0.374551937
415	0.3743409839
416	0.3739932192
417	0.3735958748
418	0.3732093619
419	0.3726883057
420	0.3723549522
421	0.3721919499
422	0.3720773294
423	0.3718927404
424	0.3717605878
425	0.3715200013
426	0.3712539083
427	0.371023017
428	0.3708855702
429	0.3706657499
430	0.3703504889
431	0.3701023317
432	0.3698508979
433	0.3696577766
434	0.369269882
435	0.3689468623
436	0.368692899
437	0.3684221358
438	0.3680800347
439	0.3677323111
440	0.3675128148
441	0.3672747785
442	0.3668149683
443	0.3665205605
444	0.3660125978
445	0.3656311566
446	0.3653840486
447	0.3651168225
448	0.3648171263
449	0.3646171619
450	0.3643513436
451	0.3639127944
452	0.3635969962
453	0.3634491709
454	0.3630609532
455	0.3626791422
456	0.3624603506
457	0.3620906709
458	0.3618817308
459	0.3614961569
460	0.3612264844
461	0.3609729127
462	0.3607037982
463	0.3604673907
464	0.3602660935
465	0.3600611603
466	0.3597370482
467	0.3594782116
468	0.35930418
469	0.3591313696
470	0.3589912587
471	0.3588220551
472	0.3584081407
473	0.3579212474
474	0.3577313889
475	0.3574233912
476	0.3571181868
477	0.356685212
478	0.3563225146
479	0.3560031564
480	0.3557052762
481	0.3555326701
482	0.3553834268
483	0.3551726122
484	0.3550056804
485	0.354775903
486	0.3546966406
487	0.3544343086
488	0.3540195052
489	0.3538741083
490	0.35354293
491	0.3531926458
492	0.3530648233
493	0.3527681624
494	0.3524602906
495	0.3520677843
496	0.351840036
497	0.3514349202
498	0.3511445676
499	0.3510049662
500	0.350903545
501	0.3506219559
502	0.3502547827
503	0.3500210308
504	0.3496225417
505	0.3494684062
506	0.3493254169
507	0.3489648233
508	0.3488090418
509	0.3486680999
510	0.3484502962
511	0.3482315615
512	0.3478326292
513	0.3477006526
514	0.3475324374
515	0.3473499093
516	0.3471518303
517	0.3469513419
518	0.346829514
519	0.3467132256
520	0.3463124026
521	0.3459810239
522	0.345723362
523	0.3455923155
524	0.3453847941
525	0.3452311076
526	0.3451318115
527	0.3449454947
528	0.3449304398
529	0.34477177
530	0.3445239333
531	0.3443413088
532	0.3440312278
533	0.3438958608
534	0.343762433
535	0.3434958011
536	0.3432192544
537	0.343023535
538	0.3427689499
539	0.342675395
540	0.3425594539
541	0.3422646519
542	0.3419886269
543	0.3417400992
544	0.3414722112
545	0.3412937705
546	0.341106457
547	0.3408127712
548	0.340777805
549	0.3405810441
550	0.3403816078
551	0.3402316654
552	0.3401440061
553	0.3400584626
554	0.3398959167
555	0.339677056
556	0.3395483151
557	0.3394123307
558	0.3391931149
559	0.3390665935
560	0.3389178212
561	0.3388305228
562	0.33869784
563	0.3383686971
564	0.338291231
565	0.3381763161
566	0.3379951355
567	0.337824839
568	0.3375375399
569	0.3374472747
570	0.337251957
571	0.3370585945
572	0.3369539982
573	0.3366697776
574	0.3363965519
575	0.3359878947
576	0.3358800136
577	0.3356263804
578	0.3355042898
579	0.3353235212
580	0.3351642288
581	0.3350429618
582	0.3348370089
583	0.3347377522
584	0.3345697223
585	0.3344781277
586	0.3343590909
587	0.3342311188
588	0.3339821264
589	0.3337023542
590	0.3334284276
591	0.332969246
592	0.3327890474
593	0.3325085533
594	0.3321866999
595	0.3320288793
596	0.3318485666
597	0.3316085894
598	0.3313831073
599	0.3310933788
600	0.330702719
601	0.3305000639
602	0.3302089543
603	0.3298842275
604	0.3294956523
605	0.329319916
606	0.3289636812
607	0.328859615
608	0.3286724167
609	0.3284456714
610	0.3282904315
611	0.3281365893
612	0.327895367
613	0.3275402335
614	0.3273575726
615	0.3271153489
616	0.3270001413
617	0.3267282109
618	0.3263371784
619	0.3262524489
620	0.3260471671
621	0.3258486781
622	0.3256249592
623	0.3255282151
624	0.3254773332
625	0.3253508898
626	0.3251409512
627	0.325018487
628	0.3247730413
629	0.3246389884
630	0.3245079173
631	0.3243802132
632	0.3243218476
633	0.3241038467
634	0.3239984665
635	0.3238355809
636	0.323587429
637	0.3233792811
638	0.3232224384
639	0.3228751347
640	0.3226264556
641	0.3223057927
642	0.322165353
643	0.3219442022
644	0.3218932474
645	0.3217517822
646	0.3216687295
647	0.3213679896
648	0.3211021546
649	0.3209930848
650	0.3207691301
651	0.3205907789
652	0.3204830596
653	0.3201524321
654	0.3198318879
655	0.3196695366
656	0.3193531873
657	0.3190647438
658	0.318863292
659	0.3187258535
660	0.3186251555
661	0.3184695627
662	0.318371749
663	0.3182374967
664	0.3180704405
665	0.3178233106
666	0.3176818554
667	0.3174635446
668	0.3173728321
669	0.317211811
670	0.3169218393
671	0.3168260717
672	0.3166806041
673	0.3165474343
674	0.3163552912
675	0.3162622405
676	0.316060756
677	0.3158918644
678	0.3156262388
679	0.3154764538
680	0.3152185834
681	0.3149484155
682	0.314849115
683	0.3146977258
684	0.3144339902
685	0.3142002282
686	0.3140343439
687	0.313912504
688	0.3137743982
689	0.3135627159
690	0.3133373151
691	0.3132102944
692	0.3130481274
693	0.3129557099
694	0.3129446182
695	0.3127846581
696	0.3125125927
697	0.3124124951
698	0.3122643856
699	0.3121443088
