iter	Passed	Remaining
173	567	1715
174	570	1711
175	573	1707
176	576	1703
177	579	1699
178	582	1695
179	585	1692
180	588	1688
181	591	1683
182	594	1679
183	597	1675
184	600	1671
185	603	1667
186	606	1663
187	609	1659
188	612	1655
189	615	1651
190	618	1648
191	621	1643
192	624	1640
193	627	1637
194	630	1634
195	634	1631
196	638	1629
197	641	1626
198	644	1623
199	648	1621
200	652	1618
201	655	1616
202	659	1614
203	663	1612
204	667	1610
205	670	1607
206	673	1605
207	677	1602
208	680	1599
209	684	1596
210	688	1594
211	692	1593
212	696	1591
213	699	1588
214	703	1586
215	706	1583
216	710	1581
217	713	1578
218	717	1575
219	720	1572
220	724	1569
221	727	1567
222	731	1564
223	735	1562
224	739	1560
225	742	1558
226	746	1555
227	749	1552
228	753	1549
229	756	1545
230	761	1545
231	765	1543
232	768	1540
233	772	1537
234	775	1534
235	779	1533
236	783	1529
237	786	1527
238	790	1525
239	794	1522
240	797	1518
241	800	1515
242	804	1513
243	808	1510
244	811	1507
245	815	1504
246	818	1500
247	821	1497
248	824	1494
249	828	1490
250	831	1487
251	834	1484
252	838	1480
253	841	1477
254	845	1474
255	848	1471
256	852	1469
257	856	1467
258	860	1464
259	863	1461
260	866	1457
261	870	1455
262	873	1451
263	877	1448
264	881	1446
265	884	1443
266	888	1440
267	891	1437
268	895	1434
269	898	1431
270	901	1427
271	905	1424
272	908	1421
273	912	1418
274	915	1415
275	918	1411
276	921	1407
277	925	1404
278	928	1401
279	932	1398
280	935	1395
281	939	1392
282	942	1389
283	947	1387
284	951	1386
285	955	1383
286	958	1379
287	962	1377
288	966	1374
289	969	1371
290	973	1367
291	976	1364
292	979	1360
293	983	1357
294	986	1354
295	990	1351
296	994	1348
297	997	1345
298	1001	1342
299	1004	1339
300	1008	1336
301	1012	1333
302	1015	1330
303	1019	1328
304	1023	1325
305	1026	1322
306	1030	1318
307	1033	1315
308	1037	1312
309	1041	1309
310	1044	1306
311	1048	1303
312	1051	1300
313	1055	1297
314	1058	1294
315	1062	1290
316	1065	1287
317	1069	1284
318	1073	1281
319	1076	1278
320	1080	1275
321	1083	1271
322	1087	1268
323	1090	1265
324	1094	1262
325	1097	1259
326	1101	1256
327	1104	1252
328	1107	1249
329	1111	1245
330	1114	1242
331	1117	1239
332	1121	1236
333	1125	1232
334	1129	1230
335	1132	1227
336	1136	1223
337	1140	1221
338	1143	1217
339	1146	1214
340	1151	1211
341	1154	1208
342	1157	1205
343	1163	1204
344	1167	1200
345	1170	1197
346	1174	1194
347	1177	1191
348	1181	1188
349	1184	1184
350	1188	1181
351	1192	1178
352	1195	1175
353	1199	1172
354	1202	1168
355	1206	1166
356	1210	1163
357	1215	1160
358	1219	1158
359	1223	1155
360	1227	1153
361	1232	1150
362	1236	1147
363	1240	1144
364	1244	1142
365	1248	1139
366	1252	1136
367	1255	1132
368	1259	1129
369	1263	1126
370	1266	1123
371	1270	1120
372	1274	1117
373	1278	1114
374	1281	1110
375	1285	1107
376	1288	1104
377	1292	1101
378	1296	1097
379	1299	1094
380	1303	1091
381	1306	1087
382	1310	1084
383	1314	1081
384	1317	1077
385	1321	1074
386	1325	1072
387	1329	1068
388	1332	1065
389	1335	1061
390	1339	1058
391	1342	1055
392	1346	1051
393	1349	1048
394	1354	1045
395	1357	1042
396	1362	1039
397	1366	1036
398	1370	1034
399	1375	1031
400	1379	1028
401	1383	1025
402	1387	1022
403	1390	1018
404	1394	1015
405	1397	1012
406	1400	1008
407	1405	1005
408	1408	1002
409	1412	998
410	1415	995
411	1419	991
412	1422	988
413	1426	985
414	1429	981
415	1433	978
416	1436	975
417	1440	971
418	1444	968
419	1448	965
420	1451	962
421	1455	958
422	1459	955
423	1462	952
424	1466	948
425	1469	945
426	1473	941
427	1476	938
428	1480	935
429	1483	931
430	1486	927
431	1489	924
432	1492	920
433	1495	916
434	1499	913
435	1502	910
436	1506	906
437	1509	902
438	1512	899
439	1516	895
440	1519	892
441	1522	888
442	1525	885
443	1528	881
444	1531	877
445	1534	874
446	1538	870
447	1541	866
448	1544	863
449	1547	859
450	1550	856
451	1554	852
452	1557	849
453	1560	845
454	1563	842
455	1567	838
456	1570	834
457	1573	831
458	1576	827
459	1580	824
460	1583	820
461	1586	817
462	1590	813
463	1593	810
464	1596	806
465	1599	803
466	1603	799
467	1606	796
468	1609	792
469	1612	789
470	1615	785
471	1618	781
472	1621	778
473	1625	774
474	1628	771
475	1632	768
476	1635	764
477	1639	761
478	1642	757
479	1645	754
480	1649	750
481	1652	747
482	1656	744
483	1659	740
484	1663	737
485	1666	733
486	1670	730
487	1673	727
488	1677	723
489	1680	720
490	1683	716
491	1688	713
492	1691	710
493	1694	706
494	1698	703
495	1701	699
496	1705	696
497	1709	693
498	1712	689
499	1716	686
500	1719	683
501	1723	679
502	1726	676
503	1730	672
504	1734	669
505	1737	666
506	1741	662
507	1745	659
508	1749	656
509	1753	653
510	1757	649
511	1760	646
512	1765	643
513	1768	640
514	1772	636
515	1776	633
516	1780	630
517	1784	626
518	1788	623
519	1791	620
520	1794	616
521	1797	613
522	1801	609
523	1804	605
524	1807	602
525	1810	598
526	1813	595
527	1816	591
528	1818	587
529	1821	584
530	1825	580
531	1828	577
532	1832	574
533	1836	571
534	1840	567
535	1843	563
536	1846	560
537	1849	556
538	1852	553
539	1855	549
540	1858	546
541	1861	542
542	1864	539
543	1868	535
544	1871	532
545	1874	528
546	1877	525
547	1881	521
548	1883	518
549	1887	514
550	1890	511
551	1893	507
552	1896	504
553	1899	500
554	1903	497
555	1906	493
556	1910	490
557	1914	487
558	1918	483
559	1922	480
560	1925	477
561	1929	473
562	1932	470
563	1936	466
564	1939	463
565	1943	460
566	1946	456
567	1949	453
568	1953	449
569	1956	446
570	1960	442
571	1963	439
572	1966	435
573	1970	432
574	1974	429
575	1977	425
576	1983	422
577	1986	419
578	1990	415
579	1993	412
580	1997	409
581	2000	405
582	2004	402
583	2007	398
584	2010	395
585	2014	391
586	2017	388
587	2020	384
588	2023	381
589	2027	377
590	2030	374
591	2033	370
592	2036	367
593	2040	364
594	2044	360
595	2048	357
596	2051	354
597	2055	350
598	2058	347
599	2062	343
600	2066	340
601	2069	336
602	2073	333
603	2076	330
604	2079	326
605	2083	323
606	2086	319
607	2094	316
608	2098	313
609	2101	310
610	2105	306
611	2108	303
612	2111	299
613	2114	296
614	2117	292
615	2121	289
616	2124	285
617	2127	282
618	2131	278
619	2134	275
620	2137	271
621	2141	268
622	2144	265
623	2147	261
624	2150	258
625	2153	254
626	2157	251
627	2160	247
628	2163	244
629	2166	240
630	2169	237
631	2172	233
632	2176	230
633	2180	227
634	2183	223
635	2186	220
636	2190	216
637	2194	213
638	2197	209
639	2200	206
640	2203	202
641	2206	199
642	2209	195
643	2213	192
644	2216	189
645	2219	185
646	2223	182
647	2226	178
648	2229	175
649	2232	171
650	2236	168
651	2239	164
652	2242	161
653	2246	157
654	2249	154
655	2252	151
656	2256	147
657	2259	144
658	2262	140
659	2266	137
660	2269	133
661	2273	130
662	2276	127
663	2279	123
664	2282	120
665	2286	116
666	2289	113
667	2292	109
668	2295	106
669	2298	102
670	2302	99
671	2305	96
672	2308	92
673	2311	89
674	2314	85
675	2317	82
676	2320	78
677	2323	75
678	2326	71
679	2329	68
680	2333	65
681	2336	61
682	2339	58
683	2342	54
684	2346	51
685	2349	47
686	2353	44
687	2356	41
688	2360	37
689	2365	34
690	2368	30
691	2372	27
692	2375	23
693	2379	20
694	2380	17
695	2384	13
696	2387	10
697	2390	6
698	2394	3
699	2397	0
